,index,Circuit,Loss,k1,k2,theta1,theta2,best_losses,best_loss_circuit
29,29,Dual Control,0.3753464252474246,0.00014717168036611648,0.0005795219172875381,5.856922138425658,0.01132069079718967,0.06789143678409412,Dual Control
30,30,No Control,0.7295874572700406,0.0009994169238547413,5.948195115805977e-06,9.936785797099704,9.309913548582578,0.06789143678409412,Dual Control
31,31,Dual Control,0.361318674387071,0.0004216960684492642,4.414435528081836e-06,1.8327630024348842,7.8037930875070165,0.06789143678409412,Dual Control
32,32,No Control,0.8092012895879467,0.0009863077107642657,0.0005303702064715634,4.410982581951666,1.4439708503192885,0.06789143678409412,Dual Control
33,33,Downstream Activation,0.1979534354017469,0.00026605032645317687,0.0009320322406404669,8.35192210677566,9.908694149396165,0.06789143678409412,Dual Control
34,34,Upstream Repression,0.9696480098483762,0.0009321849255249206,0.0009398527526569931,8.606529292778983,0.5910697454519429,0.06789143678409412,Dual Control
35,35,Dual Control,0.28797701417776644,6.721460141642893e-06,0.00015021213584733923,4.105914048656014,6.309355305440808,0.06789143678409412,Dual Control
36,36,Downstream Activation,0.5820111909949007,0.0009533479823062082,0.0007055537385563274,4.366475865605313,6.872427582590028,0.06789143678409412,Dual Control
37,37,No Control,0.5160554158208311,0.0007285827046776836,0.0002439180991431699,9.950351998807584,9.60602093115517,0.06789143678409412,Dual Control
38,38,Upstream Repression,0.7568671411091009,0.0005178125065394047,0.0009424965898825266,6.665579721819218,9.876620527493575,0.06789143678409412,Dual Control
39,39,Dual Control,0.17539449680500363,0.0002744981763640583,0.0003643241869949308,5.819516254604618,3.9648594731993603,0.06789143678409412,Dual Control
40,40,Dual Control,0.08453204549100352,8.448695438369198e-05,0.0005307717968140503,2.1836973379684155,8.486049327816291,0.06789143678409412,Dual Control
41,41,Downstream Activation,0.418669627364867,0.0004531046735253635,0.0004274765522383824,7.155450202505974,0.38302647496580366,0.06789143678409412,Dual Control
42,42,Upstream Repression,0.5717786958116257,0.0007430526082734118,0.0003861619394214661,6.226531271386689,2.9639023803831526,0.06789143678409412,Dual Control
43,43,Dual Control,0.2794892608007265,0.0006025235822549015,0.0002909679080042492,9.341161030023109,9.863657451201904,0.06789143678409412,Dual Control
44,44,No Control,0.799531359861095,0.0007654996402303088,0.0007151155259056656,4.494788257250543,7.339212183196908,0.06789143678409412,Dual Control
45,45,Dual Control,0.44358740520724804,0.00035555291642012384,0.00016014981130170228,0.048996083972390636,2.658267869827591,0.06789143678409412,Dual Control
46,46,Upstream Repression,0.07415861821657321,0.0003273444592494845,1.8577294039427662e-05,7.89072333488104,3.5463747699542427,0.06789143678409412,Dual Control
47,47,Upstream Repression,0.13926116013138468,0.00032119778366217986,1.1319202266615327e-05,7.76211680639565,3.0829227276768165,0.06789143678409412,Dual Control
48,48,Upstream Repression,0.30494780005106314,0.00035552251526857595,0.00023994397329130503,9.84153049256544,8.274412656774077,0.06789143678409412,Dual Control
49,49,Upstream Repression,0.26368033519389333,0.0007073632500284893,6.037994499836076e-06,4.532052181274903,3.0091449915215747,0.06789143678409412,Dual Control
50,50,Upstream Repression,0.5405584622497672,6.0993677847336275e-06,0.0006255446155239377,6.012209486079625,0.010903942812939604,0.06789143678409412,Dual Control
51,51,Upstream Repression,0.3344230904888759,0.0003464158368369851,0.00033203091201436624,2.4365974932645234,4.3712879890295,0.06789143678409412,Dual Control
52,52,Upstream Repression,0.6412453049804371,0.0007318641384815746,0.0005153154059023439,8.19061446199639,8.203542931714782,0.06789143678409412,Dual Control
53,53,Upstream Repression,0.12352306655988693,0.000197809382213397,7.884768617492211e-05,4.970859150396978,1.8142778075344739,0.06789143678409412,Dual Control
54,54,Downstream Activation,0.5841342715050768,0.0006701600080765178,5.42814546935545e-06,0.14899330194921578,2.6619811150796777,0.06789143678409412,Dual Control
55,55,Upstream Repression,0.5980316578585719,0.000599483168896715,0.0007695453225749051,0.36199704288247325,4.60140713940671,0.06789143678409412,Dual Control
56,56,No Control,0.18832044344950166,7.316426335857889e-05,0.0002750846624540926,7.024430492228401,2.1728402267414593,0.06789143678409412,Dual Control
57,57,Downstream Activation,0.21637297220875115,0.0002941885817907327,0.0007577533849532451,3.2452371712076795,8.086086089915659,0.06789143678409412,Dual Control
58,58,Upstream Repression,0.4974956621602869,0.00044783483060538073,0.0005145730399776089,7.147205682057416,7.784710877743299,0.06789143678409412,Dual Control
59,59,No Control,0.9275813182449607,0.0007499840390679763,0.000984079632007156,0.12492956038562308,7.06255343590481,0.06789143678409412,Dual Control
60,60,Upstream Repression,0.6327253761196435,0.0009887945651539144,0.0002765235819469125,8.859595519708268,5.751997776175433,0.06789143678409412,Dual Control
61,61,Downstream Activation,0.4827699637933216,0.0007354201847101027,0.0007062787199997699,9.594583409560986,4.388459017344808,0.06789143678409412,Dual Control
62,62,Upstream Repression,0.5334764789172345,0.0002551588452975576,0.0007855327979331701,3.3163863771456272,4.063420023433114,0.06789143678409412,Dual Control
63,63,Dual Control,0.6862298114504961,0.0008578863814507865,0.0006368136303051883,6.692196470177416,0.22199212208794172,0.06789143678409412,Dual Control
64,64,No Control,0.34630654078720796,0.0005323274790210356,0.0001231940405572001,8.655774932722338,0.10403873313610923,0.06789143678409412,Dual Control
65,65,Dual Control,0.0838428603493861,0.00011238296772686968,0.0003629259680512745,3.9635896698886173,6.358411344468265,0.06789143678409412,Dual Control
66,66,Dual Control,0.4752502052580974,0.00023806088891390034,5.115899792109346e-07,4.9303494777869235,4.595417325933314,0.06789143678409412,Dual Control
67,67,Dual Control,0.09682277776048542,0.00042147599769335793,0.0002264651887145317,2.5477570305414603,7.2515328973126625,0.06789143678409412,Dual Control
68,68,Dual Control,0.07750959822676216,0.0005908832953308968,0.0004651680881893734,0.8369475114369749,9.027272398629322,0.06789143678409412,Dual Control
69,69,Dual Control,0.08022741674833186,0.0006244425515553838,0.00072924290320296,0.9085002400836486,9.13199361546137,0.06789143678409412,Dual Control
70,70,Dual Control,0.12145014853019882,0.0008348250406454811,0.0004845924069613148,1.559073912986878,8.16811725126693,0.06789143678409412,Dual Control
71,71,Dual Control,0.08645995328939815,0.0006311045843395311,0.0006339000625863036,0.621040220391297,9.363110531014515,0.06789143678409412,Dual Control
72,72,Dual Control,0.2606696229167878,0.0005674849593863515,0.0008863991111312294,3.045313281958115,5.7621377999042,0.06789143678409412,Dual Control
73,73,Dual Control,0.24313092914333134,0.0007960458324811957,0.0005636626420888665,3.513336083507116,9.920065360530629,0.06789143678409412,Dual Control
74,74,Dual Control,0.17423247683155124,0.0006831060465839148,0.00046106419816862763,0.28270213061636174,7.696749519766634,0.06789143678409412,Dual Control
75,75,Downstream Activation,0.35705310082903197,0.000491217759055962,1.004568840762732e-05,6.425262235156934,6.9172319107509495,0.06789143678409412,Dual Control
76,76,Dual Control,0.20502467020177795,0.0004844983762450152,0.0008405949573355644,1.1200468688112275,2.4588304270010455,0.06789143678409412,Dual Control
77,77,Upstream Repression,0.11863651729680408,7.106330219324401e-05,0.00013994112086760546,5.311544776389601,2.1094715553821946,0.06789143678409412,Dual Control
78,78,Dual Control,0.1592601798879354,0.0009094493068436355,0.00043102279229471473,2.118989379494702,8.733448173039896,0.06789143678409412,Dual Control
79,79,No Control,0.6756982344694048,0.0008582400486213154,0.0004083852674668199,2.513749935666623,2.9353329663434207,0.06789143678409412,Dual Control
80,80,Dual Control,0.297796533006184,0.0006973173081089677,0.0007757654541566393,2.506355839310928,4.5113121606204905,0.06789143678409412,Dual Control
81,81,Upstream Repression,0.8514191367690954,0.000851938426382564,0.0008524106904432637,1.584758066412582,9.156477972773374,0.06789143678409412,Dual Control
