,index,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,best_loss_circuit
1,1,"((0, 0, 1), (0, 0, 1))",67454149.08353621,3.8757479871608207,4.569655140502849,8.228145968871774,5.149632667852396,Open Loop,100000.0,Initial
2,2,"((0, 0, 1), (0, 0, 1))",87810080.88531101,4.422194043431523,0.8632979797818942,6.328981314993901,8.931155037016792,Open Loop,100000.0,Initial
3,3,"((0, 0, 1), (0, 0, 1))",1070950.583723872,0.48800308745358906,3.2870582696496102,5.266289445467981,7.758218659806613,Open Loop,100000.0,Initial
4,4,"((0, 0, 1), (0, 0, 1))",305538.7867385231,0.2605249800271569,1.5762904247778184,4.6275890257517895,8.817206689292533,Open Loop,100000.0,Initial
5,5,"((0, 0, 1), (0, 0, 1))",71572030.57409503,3.9922941644973915,0.747718243998718,3.026096479973646,6.834744453093395,Open Loop,100000.0,Initial
6,6,"((0, 0, 1), (0, 0, 1))",20272170.18359711,2.1246772426912783,4.033407220614738,3.0105380106293205,5.823651541348973,Open Loop,100000.0,Initial
7,7,"((0, 0, 1), (0, 0, 1))",45888275.86013957,3.1966506475693,4.666360505972103,0.7752037757846203,0.2293368003421272,Open Loop,100000.0,Initial
8,8,"((0, 0, 1), (0, 0, 1))",69993270.16541614,3.948150787012965,0.1211447764671614,3.9995738153764435,5.939361734326893,Open Loop,100000.0,Initial
9,9,"((0, 0, 1), (0, 0, 1))",30440963.733927857,2.603625860669921,3.6817044566509645,9.036173663532313,0.6368221876624558,Open Loop,100000.0,Initial
0,0,"((0, 1, 0), (0, 0, 1))",169449962.48423585,4.411667609664754,4.27000935906285,6.931200568127062,0.28195733232535275,Upstream Repression,100000.0,Initial
1,1,"((0, 1, 0), (0, 0, 1))",32846755.170054723,3.4992407046738414,1.4469594751778854,3.4345603356804264,8.760075636518625,Upstream Repression,100000.0,Initial
2,2,"((0, 1, 0), (0, 0, 1))",127702029.15023465,4.596489562112595,1.460408539490938,9.64348455804155,2.9197345225538736,Upstream Repression,100000.0,Initial
3,3,"((0, 1, 0), (0, 0, 1))",31865004.04987697,4.22688558849658,1.303803703463469,3.0866903462702546,4.361450530530285,Upstream Repression,100000.0,Initial
4,4,"((0, 1, 0), (0, 0, 1))",19995519.589539394,1.56380488648928,0.9940609830155663,8.605454406119955,5.908397362737209,Upstream Repression,100000.0,Initial
5,5,"((0, 1, 0), (0, 0, 1))",228945.38363508665,2.0230345620132963,0.012219749482970561,8.129752869919898,9.18691327250257,Upstream Repression,100000.0,Initial
6,6,"((0, 1, 0), (0, 0, 1))",11831569.86983112,3.4585548623044664,0.45306347113737405,3.8835670095192145,6.017782841777281,Upstream Repression,100000.0,Initial
7,7,"((0, 1, 0), (0, 0, 1))",10967303.868269345,2.171845648339202,3.9650551680269444,0.8955714073411783,8.37830450112908,Upstream Repression,100000.0,Initial
8,8,"((0, 1, 0), (0, 0, 1))",18525892.655898485,1.5593514392843018,1.210553160740183,6.517380178888263,3.74924825041145,Upstream Repression,100000.0,Initial
9,9,"((0, 1, 0), (0, 0, 1))",109411582.38868883,3.210773523668976,4.945619126150684,8.267281435360387,7.97639967351689,Upstream Repression,100000.0,Initial
0,0,"((0, 0, 1), (1, 0, 0))",86032334.97797765,2.657375237892166,2.5973193054485177,7.360131833609104,2.943364670960077,Downstream Activation,100000.0,Initial
1,1,"((0, 0, 1), (1, 0, 0))",205137637.37711328,4.103383873153152,3.681833755816415,8.67466127729201,3.804194615790172,Downstream Activation,100000.0,Initial
2,2,"((0, 0, 1), (1, 0, 0))",218414286.4220716,4.2341060269724595,2.5436180468421354,9.941554253902192,4.532437075050784,Downstream Activation,100000.0,Initial
3,3,"((0, 0, 1), (1, 0, 0))",56240323.87354115,2.1485727353180892,4.917293442775473,2.1183185976686874,9.860532512624651,Downstream Activation,100000.0,Initial
4,4,"((0, 0, 1), (1, 0, 0))",60827.664347145015,0.07060292329655951,4.84466671424042,1.4939043414063273,2.292191462188998,Downstream Activation,60827.664347145015,Downstream Activation
5,5,"((0, 0, 1), (1, 0, 0))",10136.744523850291,0.028832601104140508,0.5767289123104997,0.2501252543378634,2.059704242899479,Downstream Activation,10136.744523850291,Downstream Activation
6,6,"((0, 0, 1), (1, 0, 0))",2821725.4437189493,0.4813022752637837,2.8250394166143264,7.097488837842499,6.263303713648953,Downstream Activation,10136.744523850291,Downstream Activation
7,7,"((0, 0, 1), (1, 0, 0))",284097523.0905066,4.828919804845213,3.984363051006784,3.05745545363577,0.5894572775360054,Downstream Activation,10136.744523850291,Downstream Activation
8,8,"((0, 0, 1), (1, 0, 0))",200259700.2409776,4.054330684686118,0.4076241740298629,0.3156277212766408,0.7834561967911505,Downstream Activation,10136.744523850291,Downstream Activation
9,9,"((0, 0, 1), (1, 0, 0))",1757150.2354803558,0.37981943665091666,1.9636866323357538,7.343943594657117,6.035932935068136,Downstream Activation,10136.744523850291,Downstream Activation
0,0,"((0, 1, 0), (1, 0, 0))",2569594.2222696673,2.6031394978637805,0.6809308493274067,1.9437368340340215,4.20877803636443,Dual Control,100000.0,Initial
