,index,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,best_loss_circuit
284,284,"((0, 1, 0), (1, 0, 0))",3007241.6267559403,1.9478291366828235,0.6056130578422226,2.0753090932681295,2.493940302105975,Dual Control,0.2118441422119579,Dual Control
285,285,"((0, 1, 0), (0, 0, 1))",156798.45850470988,2.207142298204038,0.008055829965414762,9.306120639559992,3.2785035500076063,Upstream Repression,0.2118441422119579,Dual Control
286,286,"((0, 1, 0), (1, 0, 0))",6.148393333571715,0.26482599243113186,3.216984209850952,0.007570886448728775,3.686836483324228,Dual Control,0.2118441422119579,Dual Control
287,287,"((0, 1, 0), (1, 0, 0))",947080.4104482979,0.4755524183773878,3.069130695097574,1.8199487804592835,3.3201492248451707,Dual Control,0.2118441422119579,Dual Control
288,288,"((0, 0, 1), (1, 0, 0))",62876800.461324155,2.0728701594067314,4.6168374581514975,1.881376438729069,0.059223360368498845,Downstream Activation,0.2118441422119579,Dual Control
289,289,"((0, 1, 0), (1, 0, 0))",12924.457960728476,0.08688864799468152,3.433842027317623,0.6048572831175794,3.6828042989105465,Dual Control,0.2118441422119579,Dual Control
290,290,"((0, 1, 0), (1, 0, 0))",483289.2270134538,0.6248035640698446,3.1939965838550353,1.1298329627801231,4.453709694371764,Dual Control,0.2118441422119579,Dual Control
291,291,"((0, 0, 1), (0, 0, 1))",25436888.02495875,1.3184710119984249,1.0910933760528099,9.449966077744431,3.9875220149226482,Open Loop,0.2118441422119579,Dual Control
292,292,"((0, 1, 0), (1, 0, 0))",30612.916027920048,0.31690585608459165,3.667146824344967,0.3770113885201925,3.5038237232279283,Dual Control,0.2118441422119579,Dual Control
293,293,"((0, 1, 0), (1, 0, 0))",832480.7008483004,0.7409664461090963,3.2554530220538194,1.4610883778852926,5.2677639054208925,Dual Control,0.2118441422119579,Dual Control
294,294,"((0, 1, 0), (0, 0, 1))",38484258.87208913,1.6775544528234088,4.702515174111252,8.074615415177268,0.2886520079748429,Upstream Repression,0.2118441422119579,Dual Control
295,295,"((0, 1, 0), (1, 0, 0))",138.85735040173915,0.5045275691167288,3.9068973771140776,0.0317675529924259,4.252826611435719,Dual Control,0.2118441422119579,Dual Control
296,296,"((0, 0, 1), (1, 0, 0))",199209888.08250147,3.689621598545323,1.1115172395463844,4.1167364862545535,8.219222117853999,Downstream Activation,0.2118441422119579,Dual Control
297,297,"((0, 1, 0), (1, 0, 0))",151918.28177709223,0.4317799547066173,2.8039451527655195,0.7757997103412729,3.8768582513328504,Dual Control,0.2118441422119579,Dual Control
298,298,"((0, 1, 0), (1, 0, 0))",6323307.574607213,0.8900479589382153,3.346548252969892,4.381448008745164,4.083112464619704,Dual Control,0.2118441422119579,Dual Control
299,299,"((0, 1, 0), (1, 0, 0))",272743.6095128929,0.1664548610388795,2.9586014445823334,2.9225368525550697,3.2657606811043376,Dual Control,0.2118441422119579,Dual Control
300,300,"((0, 0, 1), (0, 0, 1))",344623210.52094275,4.852752816148804,4.742933922522752,0.48728762162103045,2.8326641371173973,Open Loop,0.2118441422119579,Dual Control
301,301,"((0, 1, 0), (1, 0, 0))",5374.729994171633,0.257874024252278,3.5236928335945517,0.24436525041090648,4.901207279349787,Dual Control,0.2118441422119579,Dual Control
302,302,"((0, 1, 0), (1, 0, 0))",6779466.10088043,1.112014007596112,4.016992742823234,2.5443182514125944,2.8152071794237625,Dual Control,0.2118441422119579,Dual Control
303,303,"((0, 1, 0), (0, 0, 1))",99391834.66060466,3.9265782200903927,2.5521425542179283,5.075253781902553,4.419457218187142,Upstream Repression,0.2118441422119579,Dual Control
304,304,"((0, 1, 0), (1, 0, 0))",662.0592168610225,0.015584661196448302,3.735557762163496,0.500260281325349,4.629371480367874,Dual Control,0.2118441422119579,Dual Control
305,305,"((0, 0, 1), (1, 0, 0))",6624.652428262689,0.021204618522687735,0.5353336945760132,6.85372195534005,0.7797272885045405,Downstream Activation,0.2118441422119579,Dual Control
306,306,"((0, 1, 0), (1, 0, 0))",146.58459105251487,3.4116941064815576,4.208421340139441,0.016423047161165574,6.614114078552682,Dual Control,0.2118441422119579,Dual Control
307,307,"((0, 1, 0), (1, 0, 0))",120608.92865837741,0.22350860410171278,3.810816053111546,1.2303008781154123,5.431210109446793,Dual Control,0.2118441422119579,Dual Control
308,308,"((0, 1, 0), (1, 0, 0))",36272907.73825869,2.8927303524685724,3.615983144595873,3.674142909128645,3.5941543648834653,Dual Control,0.2118441422119579,Dual Control
309,309,"((0, 1, 0), (1, 0, 0))",11358937.21170857,4.053996178721236,2.4681344725429897,1.69105022765364,3.884463788590228,Dual Control,0.2118441422119579,Dual Control
310,310,"((0, 0, 1), (0, 0, 1))",123984083.13957721,2.9107762670245596,2.177446506741054,6.4942305035509165,8.441798026025532,Open Loop,0.2118441422119579,Dual Control
